id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
1369,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1370,HD 134060 b,78,10.1 Earths,6.29,2019
1371,HD 134060 c,78,29.29 Earths,6.29,2019
1372,HD 134987 b,85,1.61 Jupiters,6.47,1999
1373,HD 134987 c,85,0.82 Jupiters,6.47,2009
1374,HD 135625 b,184,2.3 Jupiters,7.72,2023
1375,HD 108236 c,211,4.94 Earths,9.25,2020
1376,HD 108236 d,211,6.98 Earths,9.25,2020
1377,HD 108236 e,211,9.71 Earths,9.25,2020
1378,HD 108236 f,211,4.72 Earths,9.25,2021
1379,HD 108341 b,160,2.25 Jupiters,9.38,2014
1380,HD 108863 b,537,2.414 Jupiters,7.71,2011
1381,HD 108874 b,194,1.42 Jupiters,8.76,2002
1382,HD 108874 c,194,0.99 Jupiters,8.76,2005
1383,HD 109246 b,221,0.86 Jupiters,8.751,2010
1384,HD 109271 b,182,17.162 Earths,8.04,2013
1385,HD 109271 c,182,24.154 Earths,8.04,2013
1386,HD 109286 b,181,2.99 Jupiters,8.78,2021
1387,HD 109749 b,206,0.27 Jupiters,8.08,2005
1388,HD 10975 b,380,0.45 Jupiters,5.94188,2021
1389,HD 109833 b,260,8.69 Earths,9.29,2022
1390,HD 109833 c,260,7.22 Earths,9.29,2022
1391,HD 109988 b,139,21.821 Jupiters,8.9,2022
1392,HD 110014 b,329,11.09 Jupiters,4.64597,2009
1393,HD 110067 b,105,5.69 Earths,8.419,2023
1394,HD 110067 c,105,6.3 Earths,8.419,2023
1395,HD 110067 d,105,8.52 Earths,8.419,2023
1396,HD 110067 e,105,3.9 Earths,8.419,2023
1397,HD 110067 f,105,5.04 Earths,8.419,2023
1398,HD 110067 g,105,8.4 Earths,8.419,2023
1399,HD 110082 b,343,10.3 Earths,9.23,2021
1400,HD 110113 b,347,4.55 Earths,10.09,2021
1401,HD 110113 c,347,10.5 Earths,10.09,2021
1402,HD 110537 b,147,27.099 Jupiters,7.83,2022
1403,HD 11112 b,145,8.176 Jupiters,7.13,2022
1404,HD 111232 b,94,7.965 Jupiters,7.59,2003
1405,HD 111232 c,94,18.063 Jupiters,7.59,2022
1406,HD 111591 b,372,4.4 Jupiters,6.417,2017
1407,HD 111998 b,108,4.8 Jupiters,6.11006,2016
1408,HD 112300 b,202,15.83 Jupiters,3.39515,2023
1409,HD 112640 b,1055,5 Jupiters,6.53649,2020
1410,HD 113337 b,118,3.259 Jupiters,6.02078,2013
1411,HD 113337 c,118,19.821 Jupiters,6.02078,2022
1412,HD 11343 c,506,0.804 Jupiters,7.88,2022
1413,HD 113538 b,53,0.36 Jupiters,9.05,2010
1414,HD 113538 c,53,0.93 Jupiters,9.05,2010
1415,HD 113996 b,379,6.3 Jupiters,4.77044,2017
1416,HD 114082 b,311,8 Jupiters,8.2,2022
1417,HD 114386 b,91,1.14 Jupiters,8.73,2003
1418,HD 114613 b,66,0.357 Jupiters,4.847,2014
1419,HD 114729 b,123,0.825 Jupiters,6.68,2002
1420,HD 114783 b,69,1.1 Jupiters,7.56,2001
1421,HD 114783 c,69,1.9 Jupiters,7.56,2018
1422,HD 11505 b,127,7.899 Jupiters,7.43,2022
1423,HD 11506 b,167,4.88 Jupiters,7.51,2007
1424,HD 11506 c,167,0.369 Jupiters,7.51,2008
1425,HD 125612 d,188,7.178 Jupiters,8.31,2009
1426,HD 12648 b,594,1.96 Jupiters,6.98656,2015
1427,HD 126525 b,123,0.237 Jupiters,7.85,2018
1428,HD 126614 b,238,0.339 Jupiters,8.81,2009
1429,HD 12661 b,123,2.43 Jupiters,7.43,2000
1430,HD 12661 c,123,1.812 Jupiters,7.43,2002
1431,HD 127506 b,73,27.33324 Earths,8.7,2022
1432,HD 128311 b,53,1.769 Jupiters,7.48,2002
1433,HD 128311 c,53,3.789 Jupiters,7.48,2005
1434,HD 128356 b,85,0.89 Jupiters,8.2411,2016
1435,HD 129445 b,220,2.51 Jupiters,8.8,2009
1436,HD 130322 b,104,1.15 Jupiters,8.04,1999
1437,HD 131496 b,430,1.8 Jupiters,7.8,2011
1438,HD 13167 b,486,3.31 Jupiters,8.34,2018
1439,HD 13189 b,1624,10.95 Jupiters,7.57,2005
1440,HD 132406 b,231,6.2 Jupiters,8.45,2007
1441,HD 132563 b,343,1.49 Jupiters,8.928001,2011
1442,HD 133131 A b,168,1.42 Jupiters,7.66,2016
1443,HD 133131 A c,168,0.42 Jupiters,7.66,2016
1444,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1445,HD 134060 b,78,10.1 Earths,6.29,2019
1446,HD 134060 c,78,29.29 Earths,6.29,2019
1447,HD 134987 b,85,1.61 Jupiters,6.47,1999
1448,HD 134987 c,85,0.82 Jupiters,6.47,2009
1449,HD 135625 b,184,2.3 Jupiters,7.72,2023
1450,HD 125612 d,188,7.178 Jupiters,8.31,2009
1451,HD 12648 b,594,1.96 Jupiters,6.98656,2015
1452,HD 126525 b,123,0.237 Jupiters,7.85,2018
1453,HD 126614 b,238,0.339 Jupiters,8.81,2009
1454,HD 12661 b,123,2.43 Jupiters,7.43,2000
1455,HD 12661 c,123,1.812 Jupiters,7.43,2002
1456,HD 127506 b,73,27.33324 Earths,8.7,2022
1457,HD 128311 b,53,1.769 Jupiters,7.48,2002
1458,HD 128311 c,53,3.789 Jupiters,7.48,2005
1459,HD 128356 b,85,0.89 Jupiters,8.2411,2016
1460,HD 129445 b,220,2.51 Jupiters,8.8,2009
1461,HD 130322 b,104,1.15 Jupiters,8.04,1999
1462,HD 131496 b,430,1.8 Jupiters,7.8,2011
1463,HD 13167 b,486,3.31 Jupiters,8.34,2018
1464,HD 13189 b,1624,10.95 Jupiters,7.57,2005
1465,HD 132406 b,231,6.2 Jupiters,8.45,2007
1466,HD 132563 b,343,1.49 Jupiters,8.928001,2011
1467,HD 133131 A b,168,1.42 Jupiters,7.66,2016
1468,HD 133131 A c,168,0.42 Jupiters,7.66,2016
1469,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1470,HD 134060 b,78,10.1 Earths,6.29,2019
1471,HD 134060 c,78,29.29 Earths,6.29,2019
1472,HD 134987 b,85,1.61 Jupiters,6.47,1999
1473,HD 134987 c,85,0.82 Jupiters,6.47,2009
1474,HD 135625 b,184,2.3 Jupiters,7.72,2023
1475,HD 125612 d,188,7.178 Jupiters,8.31,2009
1476,HD 12648 b,594,1.96 Jupiters,6.98656,2015
1477,HD 126525 b,123,0.237 Jupiters,7.85,2018
1478,HD 126614 b,238,0.339 Jupiters,8.81,2009
1479,HD 12661 b,123,2.43 Jupiters,7.43,2000
1480,HD 12661 c,123,1.812 Jupiters,7.43,2002
1481,HD 127506 b,73,27.33324 Earths,8.7,2022
1482,HD 128311 b,53,1.769 Jupiters,7.48,2002
1483,HD 128311 c,53,3.789 Jupiters,7.48,2005
1484,HD 128356 b,85,0.89 Jupiters,8.2411,2016
1485,HD 129445 b,220,2.51 Jupiters,8.8,2009
1486,HD 130322 b,104,1.15 Jupiters,8.04,1999
1487,HD 131496 b,430,1.8 Jupiters,7.8,2011
1488,HD 13167 b,486,3.31 Jupiters,8.34,2018
1489,HD 13189 b,1624,10.95 Jupiters,7.57,2005
1490,HD 132406 b,231,6.2 Jupiters,8.45,2007
1491,HD 132563 b,343,1.49 Jupiters,8.928001,2011
1492,HD 133131 A b,168,1.42 Jupiters,7.66,2016
1493,HD 133131 A c,168,0.42 Jupiters,7.66,2016
1494,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1495,HD 134060 b,78,10.1 Earths,6.29,2019
1496,HD 134060 c,78,29.29 Earths,6.29,2019
1497,HD 134987 b,85,1.61 Jupiters,6.47,1999
1498,HD 134987 c,85,0.82 Jupiters,6.47,2009
1499,HD 135625 b,184,2.3 Jupiters,7.72,2023
1500,HD 125612 d,188,7.178 Jupiters,8.31,2009
1501,HD 12648 b,594,1.96 Jupiters,6.98656,2015
1502,HD 126525 b,123,0.237 Jupiters,7.85,2018
1503,HD 126614 b,238,0.339 Jupiters,8.81,2009
1504,HD 12661 b,123,2.43 Jupiters,7.43,2000
1505,HD 12661 c,123,1.812 Jupiters,7.43,2002
1506,HD 127506 b,73,27.33324 Earths,8.7,2022
1507,HD 128311 b,53,1.769 Jupiters,7.48,2002
1508,HD 128311 c,53,3.789 Jupiters,7.48,2005
1509,HD 128356 b,85,0.89 Jupiters,8.2411,2016
1510,HD 129445 b,220,2.51 Jupiters,8.8,2009
1511,HD 130322 b,104,1.15 Jupiters,8.04,1999
1512,HD 131496 b,430,1.8 Jupiters,7.8,2011
1513,HD 13167 b,486,3.31 Jupiters,8.34,2018
1514,HD 13189 b,1624,10.95 Jupiters,7.57,2005
1515,HD 132406 b,231,6.2 Jupiters,8.45,2007
1516,HD 132563 b,343,1.49 Jupiters,8.928001,2011
1517,HD 133131 A b,168,1.42 Jupiters,7.66,2016
1518,HD 133131 A c,168,0.42 Jupiters,7.66,2016
1519,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1520,HD 134060 b,78,10.1 Earths,6.29,2019
1521,HD 134060 c,78,29.29 Earths,6.29,2019
1522,HD 134987 b,85,1.61 Jupiters,6.47,1999
1523,HD 134987 c,85,0.82 Jupiters,6.47,2009
1524,HD 135625 b,184,2.3 Jupiters,7.72,2023
1525,HD 125612 d,188,7.178 Jupiters,8.31,2009
1526,HD 12648 b,594,1.96 Jupiters,6.98656,2015
1527,HD 126525 b,123,0.237 Jupiters,7.85,2018
1528,HD 126614 b,238,0.339 Jupiters,8.81,2009
1529,HD 12661 b,123,2.43 Jupiters,7.43,2000
1530,HD 12661 c,123,1.812 Jupiters,7.43,2002
1531,HD 127506 b,73,27.33324 Earths,8.7,2022
1532,HD 128311 b,53,1.769 Jupiters,7.48,2002
1533,HD 128311 c,53,3.789 Jupiters,7.48,2005
1534,HD 128356 b,85,0.89 Jupiters,8.2411,2016
1535,HD 129445 b,220,2.51 Jupiters,8.8,2009
1536,HD 130322 b,104,1.15 Jupiters,8.04,1999
1537,HD 131496 b,430,1.8 Jupiters,7.8,2011
1538,HD 13167 b,486,3.31 Jupiters,8.34,2018
1539,HD 13189 b,1624,10.95 Jupiters,7.57,2005
1540,HD 132406 b,231,6.2 Jupiters,8.45,2007
1541,HD 132563 b,343,1.49 Jupiters,8.928001,2011
1542,HD 133131 A b,168,1.42 Jupiters,7.66,2016
1543,HD 133131 A c,168,0.42 Jupiters,7.66,2016
1544,HD 133131 B b,167,2.5 Jupiters,8.413,2016
1545,HD 134060 b,78,10.1 Earths,6.29,2019
1546,HD 134060 c,78,29.29 Earths,6.29,2019
1547,HD 134987 b,85,1.61 Jupiters,6.47,1999
1548,HD 134987 c,85,0.82 Jupiters,6.47,2009
1549,HD 135625 b,184,2.3 Jupiters,7.72,2023
1550,HD 141399 e,121,0.66 Jupiters,7.20856,2014
1551,HD 141937 b,109,9.69 Jupiters,7.25,2002
1552,HD 142022 A b,112,4.51 Jupiters,7.7,2005
1553,HD 142245 b,317,3.07 Jupiters,7.46,2011
1554,HD 142415 b,116,1.67 Jupiters,7.33,2003
1555,HD 142 A d,85,0.26 Jupiters,5.7,2022
1556,HD 142 b,85,1.249 Jupiters,5.7,2001
1557,HD 142 c,85,10.901 Jupiters,5.7,2012
1558,HD 143105 b,153,1.21 Jupiters,6.77005,2016
1559,HD 143361 b,223,4.35 Jupiters,9.2,2008
1560,HD 144899 b,377,20.34102 Earths,8.97,2022
1561,HD 145377 b,174,6.02 Jupiters,9.236,2008
1562,HD 145457 b,441,2.794 Jupiters,6.57226,2010
1563,HD 145675 c,58,5.025 Jupiters,6.61935,2021
1564,HD 145934 b,743,2.072 Jupiters,8.495,2015
1565,HD 1461 b,77,6.44 Earths,6.47933,2010
1566,HD 1461 c,77,5.59 Earths,6.47933,2015
1567,HD 147018 b,132,2.12 Jupiters,8.3,2009
1568,HD 147018 c,132,6.56 Jupiters,8.3,2009
1569,HD 147379 b,35,21.6 Earths,8.61,2017
1570,HD 147513 b,42,1.21 Jupiters,5.37,2003
1571,HD 147873 b,356,5.14 Jupiters,7.96,2016
1572,HD 147873 c,356,2.3 Jupiters,7.96,2016
1573,HD 14787 b,389,1.121 Jupiters,7.63,2018
1574,HD 148156 b,186,0.85 Jupiters,7.69,2009
1575,HD 135872 b,269,5.489 Jupiters,7.28103,2022
1576,HD 136118 b,168,13.102 Jupiters,6.9456,2022
1577,HD 136352 b,48,4.72 Earths,5.655,2019
1578,HD 136352 c,48,11.24 Earths,5.655,2019
1579,HD 136352 d,48,8.82 Earths,5.655,2019
1580,HD 136418 b,343,2.14 Jupiters,7.849,2009
1581,HD 136925 b,156,0.84 Jupiters,7.91433,2021
1582,HD 13724 c,142,0.16 Jupiters,7.89,2022
1583,HD 137388 b,132,0.2 Jupiters,8.71,2011
1584,HD 137496 b,507,4.04 Earths,9.899,2021
1585,HD 137496 c,507,7.66 Jupiters,9.899,2021
1586,HD 13808 b,92,11.2 Earths,8.36,2021
1587,HD 13808 c,92,9.96 Earths,8.36,2021
1588,HD 13908 b,259,0.865 Jupiters,7.52,2013
1589,HD 13908 c,259,5.13 Jupiters,7.52,2013
1590,HD 13931 b,155,2.8 Jupiters,7.61,2009
1591,HD 139357 b,366,19.871 Jupiters,5.97272,2008
1592,HD 1397 b,260,0.415 Jupiters,7.79,2018
1593,HD 14067 b,463,15.3 Jupiters,6.53329,2014
1594,HD 140901 b,50,15.57359 Earths,6.012,2022
1595,HD 140901 c,50,1.8 Jupiters,6.012,2022
1596,HD 141004 b,39,13.63484 Earths,4.422,2021
1597,HD 141399 b,121,0.451 Jupiters,7.20856,2014
1598,HD 141399 c,121,1.33 Jupiters,7.20856,2014
1599,HD 141399 d,121,1.18 Jupiters,7.20856,2014
1600,HD 141399 e,121,0.66 Jupiters,7.20856,2014
1601,HD 141937 b,109,9.69 Jupiters,7.25,2002
1602,HD 142022 A b,112,4.51 Jupiters,7.7,2005
1603,HD 142245 b,317,3.07 Jupiters,7.46,2011
1604,HD 142415 b,116,1.67 Jupiters,7.33,2003
1605,HD 142 A d,85,0.26 Jupiters,5.7,2022
1606,HD 142 b,85,1.249 Jupiters,5.7,2001
1607,HD 142 c,85,10.901 Jupiters,5.7,2012
1608,HD 143105 b,153,1.21 Jupiters,6.77005,2016
1609,HD 143361 b,223,4.35 Jupiters,9.2,2008
1610,HD 144899 b,377,20.34102 Earths,8.97,2022
1611,HD 145377 b,174,6.02 Jupiters,9.236,2008
1612,HD 145457 b,441,2.794 Jupiters,6.57226,2010
1613,HD 145675 c,58,5.025 Jupiters,6.61935,2021
1614,HD 145934 b,743,2.072 Jupiters,8.495,2015
1615,HD 1461 b,77,6.44 Earths,6.47933,2010
1616,HD 1461 c,77,5.59 Earths,6.47933,2015
1617,HD 147018 b,132,2.12 Jupiters,8.3,2009
1618,HD 147018 c,132,6.56 Jupiters,8.3,2009
1619,HD 147379 b,35,21.6 Earths,8.61,2017
1620,HD 147513 b,42,1.21 Jupiters,5.37,2003
1621,HD 147873 b,356,5.14 Jupiters,7.96,2016
1622,HD 147873 c,356,2.3 Jupiters,7.96,2016
1623,HD 14787 b,389,1.121 Jupiters,7.63,2018
1624,HD 148156 b,186,0.85 Jupiters,7.69,2009
1625,HD 148164 b,252,1.23 Jupiters,8.23,2018
1626,HD 148164 c,252,5.16 Jupiters,8.23,2018
1627,HD 148427 b,233,1.3 Jupiters,6.90498,2009
1628,HD 149026 b,247,0.38 Jupiters,8.15,2005
1629,HD 149143 b,239,1.33 Jupiters,7.89,2005
1630,HD 149806 b,66,12.597 Jupiters,7.08308,2022
1631,HD 150010 b,471,2.4 Jupiters,6.2893,2022
1632,HD 1502 b,623,2.75 Jupiters,8.36,2011
1633,HD 150706 b,92,2.43 Jupiters,7.03,2012
1634,HD 151450 b,142,38.45724 Earths,7.43,2022
1635,HD 151450 c,142,5.148 Jupiters,7.43,2022
1636,HD 152079 b,287,2.661 Jupiters,9.18,2009
1637,HD 152581 b,541,1.869 Jupiters,8.38,2011
1638,HD 152843 b,352,11.56 Earths,8.855,2021
1639,HD 152843 c,352,27.5 Earths,8.855,2021
1640,HD 15337 b,146,7.51 Earths,9.1,2019
1641,HD 15337 c,146,8.11 Earths,9.1,2019
1642,HD 153557 b,59,20.34102 Earths,7.83,2022
1643,HD 153557 c,59,17.48056 Earths,7.83,2022
1644,HD 153557 d,59,27.454 Jupiters,7.83,2022
1645,HD 153950 b,158,2.95 Jupiters,7.39,2008
1646,HD 154088 b,60,6.6 Earths,6.59,2021
1647,HD 154345 b,60,1.19 Jupiters,6.76,2006
1648,HD 154672 b,206,5.37 Jupiters,8.21,2008
1649,HD 154857 b,207,2.45 Jupiters,7.24,2004
1650,HD 148164 b,252,1.23 Jupiters,8.23,2018
1651,HD 148164 c,252,5.16 Jupiters,8.23,2018
1652,HD 148427 b,233,1.3 Jupiters,6.90498,2009
1653,HD 149026 b,247,0.38 Jupiters,8.15,2005
1654,HD 149143 b,239,1.33 Jupiters,7.89,2005
1655,HD 149806 b,66,12.597 Jupiters,7.08308,2022
1656,HD 150010 b,471,2.4 Jupiters,6.2893,2022
1657,HD 1502 b,623,2.75 Jupiters,8.36,2011
1658,HD 150706 b,92,2.43 Jupiters,7.03,2012
1659,HD 151450 b,142,38.45724 Earths,7.43,2022
1660,HD 151450 c,142,5.148 Jupiters,7.43,2022
1661,HD 152079 b,287,2.661 Jupiters,9.18,2009
1662,HD 152581 b,541,1.869 Jupiters,8.38,2011
1663,HD 152843 b,352,11.56 Earths,8.855,2021
1664,HD 152843 c,352,27.5 Earths,8.855,2021
1665,HD 15337 b,146,7.51 Earths,9.1,2019
1666,HD 15337 c,146,8.11 Earths,9.1,2019
1667,HD 153557 b,59,20.34102 Earths,7.83,2022
1668,HD 153557 c,59,17.48056 Earths,7.83,2022
1669,HD 153557 d,59,27.454 Jupiters,7.83,2022
1670,HD 153950 b,158,2.95 Jupiters,7.39,2008
1671,HD 154088 b,60,6.6 Earths,6.59,2021
1672,HD 154345 b,60,1.19 Jupiters,6.76,2006
1673,HD 154672 b,206,5.37 Jupiters,8.21,2008
1674,HD 154857 b,207,2.45 Jupiters,7.24,2004
1675,HD 154857 c,207,2.58 Jupiters,7.24,2014
1676,HD 155193 b,189,0.75 Jupiters,7.0092,2021
1677,HD 155358 b,142,0.99 Jupiters,7.28,2007
1678,HD 155358 c,142,0.82 Jupiters,7.28,2007
1679,HD 155918 b,90,7.62788 Earths,7,2022
1680,HD 155918 c,90,5.909 Jupiters,7,2022
1681,HD 156098 b,157,15.89142 Earths,5.53,2022
1682,HD 156098 c,157,5.228 Jupiters,5.53,2022
1683,HD 156279 b,118,9.432 Jupiters,8.07,2011
1684,HD 156279 c,118,9.75 Jupiters,8.07,2018
1685,HD 156411 b,185,0.74 Jupiters,6.67,2009
1686,HD 156668 b,79,4.15 Earths,8.43,2010
1687,HD 156668 c,79,31.4968 Earths,8.43,2021
1688,HD 156846 b,156,10.67 Jupiters,6.5,2007
1689,HD 158038 b,309,1.53 Jupiters,7.47,2011
1690,HD 158259 b,88,2.22 Earths,6.47915,2020
1691,HD 158259 c,88,5.6 Earths,6.47915,2020
1692,HD 158259 d,88,5.41 Earths,6.47915,2020
1693,HD 158259 e,88,6.08 Earths,6.47915,2020
1694,HD 158259 f,88,6.14 Earths,6.47915,2020
1695,HD 158996 b,925,14 Jupiters,5.72291,2018
1696,HD 15906 b,149,5.65 Earths,9.78,2023
1697,HD 15906 c,149,8.91 Earths,9.78,2023
1698,HD 159243 b,239,1.13 Jupiters,8.65,2013
1699,HD 159243 c,239,1.9 Jupiters,8.65,2013
1700,HD 154857 c,207,2.58 Jupiters,7.24,2014
1701,HD 155193 b,189,0.75 Jupiters,7.0092,2021
1702,HD 155358 b,142,0.99 Jupiters,7.28,2007
1703,HD 155358 c,142,0.82 Jupiters,7.28,2007
1704,HD 155918 b,90,7.62788 Earths,7,2022
1705,HD 155918 c,90,5.909 Jupiters,7,2022
1706,HD 156098 b,157,15.89142 Earths,5.53,2022
1707,HD 156098 c,157,5.228 Jupiters,5.53,2022
1708,HD 156279 b,118,9.432 Jupiters,8.07,2011
1709,HD 156279 c,118,9.75 Jupiters,8.07,2018
1710,HD 156411 b,185,0.74 Jupiters,6.67,2009
1711,HD 156668 b,79,4.15 Earths,8.43,2010
1712,HD 156668 c,79,31.4968 Earths,8.43,2021
1713,HD 156846 b,156,10.67 Jupiters,6.5,2007
1714,HD 158038 b,309,1.53 Jupiters,7.47,2011
1715,HD 158259 b,88,2.22 Earths,6.47915,2020
1716,HD 158259 c,88,5.6 Earths,6.47915,2020
1717,HD 158259 d,88,5.41 Earths,6.47915,2020
1718,HD 158259 e,88,6.08 Earths,6.47915,2020
1719,HD 158259 f,88,6.14 Earths,6.47915,2020
1720,HD 158996 b,925,14 Jupiters,5.72291,2018
1721,HD 15906 b,149,5.65 Earths,9.78,2023
1722,HD 15906 c,149,8.91 Earths,9.78,2023
1723,HD 159243 b,239,1.13 Jupiters,8.65,2013
1724,HD 159243 c,239,1.9 Jupiters,8.65,2013
1725,HD 154857 c,207,2.58 Jupiters,7.24,2014
1726,HD 155193 b,189,0.75 Jupiters,7.0092,2021
1727,HD 155358 b,142,0.99 Jupiters,7.28,2007
1728,HD 155358 c,142,0.82 Jupiters,7.28,2007
1729,HD 155918 b,90,7.62788 Earths,7,2022
1730,HD 155918 c,90,5.909 Jupiters,7,2022
1731,HD 156098 b,157,15.89142 Earths,5.53,2022
1732,HD 156098 c,157,5.228 Jupiters,5.53,2022
1733,HD 156279 b,118,9.432 Jupiters,8.07,2011
1734,HD 156279 c,118,9.75 Jupiters,8.07,2018
1735,HD 156411 b,185,0.74 Jupiters,6.67,2009
1736,HD 156668 b,79,4.15 Earths,8.43,2010
1737,HD 156668 c,79,31.4968 Earths,8.43,2021
1738,HD 156846 b,156,10.67 Jupiters,6.5,2007
1739,HD 158038 b,309,1.53 Jupiters,7.47,2011
1740,HD 158259 b,88,2.22 Earths,6.47915,2020
1741,HD 158259 c,88,5.6 Earths,6.47915,2020
1742,HD 158259 d,88,5.41 Earths,6.47915,2020
1743,HD 158259 e,88,6.08 Earths,6.47915,2020
1744,HD 158259 f,88,6.14 Earths,6.47915,2020
1745,HD 158996 b,925,14 Jupiters,5.72291,2018
1746,HD 15906 b,149,5.65 Earths,9.78,2023
1747,HD 15906 c,149,8.91 Earths,9.78,2023
1748,HD 159243 b,239,1.13 Jupiters,8.65,2013
1749,HD 159243 c,239,1.9 Jupiters,8.65,2013
1750,HD 154857 c,207,2.58 Jupiters,7.24,2014
1751,HD 155193 b,189,0.75 Jupiters,7.0092,2021
1752,HD 155358 b,142,0.99 Jupiters,7.28,2007
1753,HD 155358 c,142,0.82 Jupiters,7.28,2007
1754,HD 155918 b,90,7.62788 Earths,7,2022
1755,HD 155918 c,90,5.909 Jupiters,7,2022
1756,HD 156098 b,157,15.89142 Earths,5.53,2022
1757,HD 156098 c,157,5.228 Jupiters,5.53,2022
1758,HD 156279 b,118,9.432 Jupiters,8.07,2011
1759,HD 156279 c,118,9.75 Jupiters,8.07,2018
1760,HD 156411 b,185,0.74 Jupiters,6.67,2009
1761,HD 156668 b,79,4.15 Earths,8.43,2010
1762,HD 156668 c,79,31.4968 Earths,8.43,2021
1763,HD 156846 b,156,10.67 Jupiters,6.5,2007
1764,HD 158038 b,309,1.53 Jupiters,7.47,2011
1765,HD 158259 b,88,2.22 Earths,6.47915,2020
1766,HD 158259 c,88,5.6 Earths,6.47915,2020
1767,HD 158259 d,88,5.41 Earths,6.47915,2020
1768,HD 158259 e,88,6.08 Earths,6.47915,2020
1769,HD 158259 f,88,6.14 Earths,6.47915,2020
1770,HD 158996 b,925,14 Jupiters,5.72291,2018
1771,HD 15906 b,149,5.65 Earths,9.78,2023
1772,HD 15906 c,149,8.91 Earths,9.78,2023
1773,HD 159243 b,239,1.13 Jupiters,8.65,2013
1774,HD 159243 c,239,1.9 Jupiters,8.65,2013
1775,HD 154857 c,207,2.58 Jupiters,7.24,2014
1776,HD 155193 b,189,0.75 Jupiters,7.0092,2021
1777,HD 155358 b,142,0.99 Jupiters,7.28,2007
1778,HD 155358 c,142,0.82 Jupiters,7.28,2007
1779,HD 155918 b,90,7.62788 Earths,7,2022
1780,HD 155918 c,90,5.909 Jupiters,7,2022
1781,HD 156098 b,157,15.89142 Earths,5.53,2022
1782,HD 156098 c,157,5.228 Jupiters,5.53,2022
1783,HD 156279 b,118,9.432 Jupiters,8.07,2011
1784,HD 156279 c,118,9.75 Jupiters,8.07,2018
1785,HD 156411 b,185,0.74 Jupiters,6.67,2009
1786,HD 156668 b,79,4.15 Earths,8.43,2010
1787,HD 156668 c,79,31.4968 Earths,8.43,2021
1788,HD 156846 b,156,10.67 Jupiters,6.5,2007
1789,HD 158038 b,309,1.53 Jupiters,7.47,2011
1790,HD 158259 b,88,2.22 Earths,6.47915,2020
1791,HD 158259 c,88,5.6 Earths,6.47915,2020
1792,HD 158259 d,88,5.41 Earths,6.47915,2020
1793,HD 158259 e,88,6.08 Earths,6.47915,2020
1794,HD 158259 f,88,6.14 Earths,6.47915,2020
1795,HD 158996 b,925,14 Jupiters,5.72291,2018
1796,HD 15906 b,149,5.65 Earths,9.78,2023
1797,HD 15906 c,149,8.91 Earths,9.78,2023
1798,HD 159243 b,239,1.13 Jupiters,8.65,2013
1799,HD 159243 c,239,1.9 Jupiters,8.65,2013
1800,HD 176986 b,91,5.74 Earths,8.42,2017
1801,HD 176986 c,91,9.18 Earths,8.42,2017
1802,HD 177565 b,55,15.1 Earths,6.15,2017
1803,HD 177830 b,205,1.69 Jupiters,7.18,1999
1804,HD 177830 c,205,0.15 Jupiters,7.18,2010
1805,HD 178911 B b,134,8.03 Jupiters,7.97,2001
1806,HD 179079 b,227,25.74423 Earths,7.95,2008
1807,HD 179949 b,90,0.916 Jupiters,6.25,2000
1808,HD 180053 b,447,2.194 Jupiters,7.93,2018
1809,HD 18015 b,404,3.3 Jupiters,7.89,2018
1810,HD 180314 b,399,22.707 Jupiters,6.61519,2010
1811,HD 180617 b,19,12.214 Earths,9.12,2018
1812,HD 180902 b,341,1.685 Jupiters,7.78,2009
1813,HD 181234 b,156,9.379 Jupiters,8.59,2019
1814,HD 181342 b,393,2.54 Jupiters,7.55,2009
1815,HD 181433 b,88,6.3566 Earths,8.4,2008
1816,HD 181433 c,88,0.64 Jupiters,8.4,2008
1817,HD 181433 d,88,0.54 Jupiters,8.4,2008
1818,HD 18143 b,73,10.80617 Earths,7.518,2022
1819,HD 18143 c,73,9.998 Jupiters,7.518,2022
1820,HD 181720 b,196,0.4 Jupiters,7.84,2009
1821,HD 183263 b,177,3.471 Jupiters,7.86,2004
1822,HD 183263 c,177,9.31 Jupiters,7.86,2008
1823,HD 183579 b,187,19.7 Earths,8.67,2021
1824,HD 184010 b,198,0.31 Jupiters,5.88639,2022
1825,HD 176986 b,91,5.74 Earths,8.42,2017
1826,HD 176986 c,91,9.18 Earths,8.42,2017
1827,HD 177565 b,55,15.1 Earths,6.15,2017
1828,HD 177830 b,205,1.69 Jupiters,7.18,1999
1829,HD 177830 c,205,0.15 Jupiters,7.18,2010
1830,HD 178911 B b,134,8.03 Jupiters,7.97,2001
1831,HD 179079 b,227,25.74423 Earths,7.95,2008
1832,HD 179949 b,90,0.916 Jupiters,6.25,2000
1833,HD 180053 b,447,2.194 Jupiters,7.93,2018
1834,HD 18015 b,404,3.3 Jupiters,7.89,2018
1835,HD 180314 b,399,22.707 Jupiters,6.61519,2010
1836,HD 180617 b,19,12.214 Earths,9.12,2018
1837,HD 180902 b,341,1.685 Jupiters,7.78,2009
1838,HD 181234 b,156,9.379 Jupiters,8.59,2019
